process_id,case_id,replay_fitness,alignments_fitness,variants,actions,is_replay_fit,is_alignment_fit
36690562,1,1.0,1.0,2,5,True,True
36690562,2,1.0,1.0,2,5,True,True
36690562,3,1.0,1.0,2,5,True,True
36690562,4,1.0,1.0,2,5,True,True
27258164,1,1.0,1.0,2,4,True,True
27258164,2,1.0,1.0,2,4,True,True
27258164,3,1.0,1.0,2,4,True,True
13018270,1,1.0,1.0,2,3,True,True
13018270,2,1.0,1.0,2,3,True,True
13018270,3,1.0,1.0,2,3,True,True
15414201,1,0.8571428571428572,0.75,4,4,False,False
15414201,2,0.8571428571428572,0.75,4,4,False,False
15414201,3,0.8571428571428572,0.75,4,4,False,False
15414201,4,0.8571428571428572,0.75,4,4,False,False
31664374,1,1.0,1.0,2,3,True,True
31664374,2,1.0,1.0,2,3,True,True
31664374,3,1.0,1.0,2,3,True,True
31664374,4,1.0,1.0,2,3,True,True
11307128,1,1.0,1.0,2,3,True,True
11307128,2,1.0,1.0,2,3,True,True
11307128,3,1.0,1.0,2,3,True,True
16333963,1,1.0,1.0,2,4,True,True
16333963,2,1.0,1.0,2,4,True,True
16333963,3,1.0,1.0,2,4,True,True
16333963,4,1.0,1.0,2,4,True,True
30160324,1,1.0,1.0,2,3,True,True
30160324,2,1.0,1.0,2,3,True,True
30160324,3,1.0,1.0,2,3,True,True
76244107,1,1.0,1.0,3,4,True,True
76244107,2,1.0,1.0,3,4,True,True
76244107,3,1.0,1.0,3,4,True,True
76244107,4,1.0,1.0,3,4,True,True
29216690,1,1.0,1.0,2,3,True,True
29216690,2,1.0,1.0,2,3,True,True
29216690,3,1.0,1.0,2,3,True,True
29216690,4,1.0,1.0,2,3,True,True
79560754,1,1.0,1.0,4,4,True,True
79560754,2,0.8571428571428572,0.75,4,4,False,False
79560754,3,1.0,1.0,4,4,True,True
79560754,4,0.7142857142857143,0.75,4,4,False,False
70467871,1,1.0,1.0,2,3,True,True
70467871,2,1.0,1.0,2,3,True,True
70467871,3,1.0,1.0,2,3,True,True
11545630,1,1.0,1.0,3,4,True,True
11545630,2,1.0,1.0,3,4,True,True
11545630,3,1.0,1.0,3,4,True,True
11545630,4,1.0,1.0,3,4,True,True
11545630,5,1.0,1.0,3,4,True,True
17603966,1,1.0,1.0,3,4,True,True
17603966,2,1.0,1.0,3,4,True,True
17603966,3,1.0,1.0,3,4,True,True
17603966,4,1.0,1.0,3,4,True,True
17603966,5,1.0,1.0,3,4,True,True
26579656,1,1.0,1.0,3,4,True,True
26579656,2,1.0,1.0,3,4,True,True
26579656,3,0.8571428571428572,0.75,3,4,False,False
26579656,4,1.0,1.0,3,4,True,True
58963254,1,1.0,1.0,2,7,True,True
58963254,2,1.0,1.0,2,7,True,True
58963254,3,0.875,0.8571428571428572,2,7,False,False
58963254,4,1.0,1.0,2,7,True,True
58963254,5,0.875,0.8571428571428572,2,7,False,False
13921012,1,1.0,1.0,2,3,True,True
13921012,2,1.0,1.0,2,3,True,True
13921012,3,1.0,1.0,2,3,True,True
13921012,4,1.0,1.0,2,3,True,True
21983458,1,0.8571428571428572,0.75,4,4,False,False
21983458,2,0.8571428571428572,0.75,4,4,False,False
21983458,3,0.8571428571428572,0.75,4,4,False,False
21983458,4,0.8571428571428572,0.75,4,4,False,False
10863709,1,1.0,1.0,1,5,True,True
10863709,2,1.0,1.0,1,5,True,True
10863709,3,1.0,1.0,1,5,True,True
10863709,4,1.0,1.0,1,5,True,True
10863709,5,1.0,1.0,1,5,True,True
10863709,6,1.0,1.0,1,5,True,True
10863709,7,1.0,1.0,1,5,True,True
82794359,1,1.0,1.0,3,4,True,True
82794359,2,1.0,1.0,3,4,True,True
82794359,3,0.8571428571428572,0.75,3,4,False,False
61036052,1,1.0,1.0,4,4,True,True
61036052,2,1.0,1.0,4,4,True,True
61036052,3,0.8571428571428572,0.75,4,4,False,False
61036052,4,1.0,1.0,4,4,True,True
61036052,5,1.0,1.0,4,4,True,True
16490659,1,0.8571428571428572,0.75,4,4,False,False
16490659,2,0.8571428571428572,0.75,4,4,False,False
16490659,3,0.8571428571428572,0.75,4,4,False,False
16490659,4,0.8571428571428572,0.75,4,4,False,False
16490659,5,0.8571428571428572,0.75,4,4,False,False
18591337,1,1.0,1.0,2,3,True,True
18591337,2,1.0,1.0,2,3,True,True
18591337,3,1.0,1.0,2,3,True,True
18591337,4,1.0,1.0,2,3,True,True
16243108,1,0.7,0.7142857142857143,4,6,False,False
16243108,2,0.7,0.7142857142857143,4,6,False,False
16243108,3,0.7,0.7142857142857143,4,6,False,False
16243108,4,0.7,0.7142857142857143,4,6,False,False
16243108,5,0.7,0.7142857142857143,4,6,False,False
62966459,1,1.0,1.0,1,4,True,True
62966459,2,1.0,1.0,1,4,True,True
62966459,3,1.0,1.0,1,4,True,True
