process_id,cluster
36690562,92
27258164,84
13018270,44
15414201,94
31664374,29
11307128,92
16333963,72
30160324,69
76244107,21
29216690,5
79560754,33
70467871,65
11545630,9
17603966,23
26579656,104
58963254,68
13921012,60
21983458,74
10863709,57
82794359,69
61036052,60
16490659,35
18591337,84
16243108,20
62966459,96
30674665,31
13251330,72
13543080,72
23190139,58
25671101,83
33439445,43
26380110,10
33359257,23
89932753,40
28140414,110
30759172,26
23097348,56
29327419,26
13587508,84
91590573,72
16283641,81
21790319,114
30848933,22
69499607,72
11576405,12
14392782,43
16980316,103
29345727,78
22836030,46
26305900,26
26739474,98
28638698,26
27485626,59
21794459,30
21433404,92
17604395,37
17308325,60
31847149,114
19574598,12
20681073,109
67337974,16
24276856,6
77117864,86
30066404,41
33534363,51
23228967,34
15284557,97
22976614,115
23155749,6
29929490,113
19318543,83
84887300,9
22328789,18
18169831,70
14394517,101
12347598,43
17047996,72
20897254,57
11848227,53
12527002,32
13787129,84
24782437,18
26959395,60
15618640,50
23858266,44
25305165,50
11305011,84
24698156,18
17529566,49
23305290,59
29917341,2
16336784,36
28120861,37
10023607,81
31376398,40
13328287,29
33377661,95
80393999,52
22556056,18
12700481,30
41541341,94
13590705,109
22387171,12
10219651,66
10702280,13
31335856,32
26704563,40
22151225,104
28376419,83
20822854,116
31133384,42
28598024,77
18966822,9
45140777,30
11685484,90
28205828,34
68601347,4
65794446,48
10755258,35
46379227,21
39491094,30
31761373,52
18394595,50
88016703,101
30302713,31
55727681,41
30462936,47
29360324,83
15212737,64
23512890,28
32128001,52
33905060,43
28956495,69
20509312,36
33576919,36
16718529,18
13416307,104
81049953,6
74973789,29
24197490,112
29651002,22
14324219,60
22545929,9
12821655,37
30489452,10
31085234,51
49391585,18
10557009,30
33129048,60
28960855,17
28048541,27
13641817,81
10816606,114
28344809,24
85782550,83
28177919,3
19933662,107
27791495,38
13875356,23
33378522,87
13140442,77
28720403,111
16540993,78
32089993,112
28128488,2
25297988,27
32485307,33
24373888,27
88103583,62
28222740,30
79094671,21
20214529,61
22732069,83
25637431,0
67398810,116
24635315,28
14628858,78
16519669,38
15037969,44
47944084,79
28658312,18
27452509,89
17216080,24
11376966,6
26869361,1
